Time,Agent,X,Y,Z,Status
1753561195.27,Agent_2,1.09,-0.06,1.0,moving
1753561195.40,Agent_2,1.14,-0.05,1.0,moving
1753561195.52,Agent_2,1.19,-0.04,1.0,moving
1753561195.65,Agent_2,1.24,-0.02,1.0,moving
1753561195.77,Agent_2,1.29,-0.01,1.0,moving
1753561195.90,Agent_2,1.34,0.00,1.0,moving
1753561196.02,Agent_2,1.39,0.01,1.0,moving
1753561196.15,Agent_2,1.44,0.03,1.0,moving
1753561196.27,Agent_2,1.49,0.04,1.0,moving
1753561196.40,Agent_2,1.54,0.05,1.0,moving
1753561196.50,Agent_2,1.59,0.06,1.0,moving
1753561196.56,Agent_2,1.64,0.07,1.0,moving
1753561196.63,Agent_2,1.68,0.09,1.0,moving
1753561196.69,Agent_2,1.73,0.10,1.0,moving
1753561196.74,Agent_2,1.78,0.11,1.0,moving
1753561196.80,Agent_2,1.83,0.12,1.0,moving
1753561196.86,Agent_2,1.88,0.14,1.0,moving
1753561196.93,Agent_3,-1.27,-0.65,1.0,moving
1753561196.98,Agent_3,-1.22,-0.64,1.0,moving
1753561197.04,Agent_3,-1.17,-0.63,1.0,moving
1753561197.11,Agent_3,-1.12,-0.61,1.0,moving
1753561197.17,Agent_3,-1.07,-0.60,1.0,moving
1753561197.23,Agent_3,-1.02,-0.59,1.0,moving
1753561197.29,Agent_3,-0.97,-0.58,1.0,moving
1753561197.35,Agent_3,-0.92,-0.57,1.0,moving
1753561197.42,Agent_3,-0.88,-0.55,1.0,moving
1753561197.47,Agent_3,-0.83,-0.54,1.0,moving
1753561197.52,Agent_3,-0.78,-0.53,1.0,moving
1753561197.58,Agent_3,-0.73,-0.52,1.0,moving
1753561197.63,Agent_3,-0.68,-0.50,1.0,moving
1753561197.68,Agent_3,-0.63,-0.49,1.0,moving
1753561197.75,Agent_3,-0.58,-0.48,1.0,moving
1753561197.81,Agent_3,-0.53,-0.47,1.0,moving
1753561197.87,Agent_3,-0.48,-0.45,1.0,moving
1753561197.95,Agent_3,-0.43,-0.44,1.0,moving
1753561198.01,Agent_3,-0.38,-0.43,1.0,moving
1753561198.07,Agent_3,-0.33,-0.42,1.0,moving
1753561198.14,Agent_3,-0.28,-0.41,1.0,moving
1753561198.20,Agent_3,-0.24,-0.39,1.0,moving
1753561198.26,Agent_3,-0.19,-0.38,1.0,moving
1753561198.32,Agent_3,-0.14,-0.37,1.0,moving
